"A"	"B"	"included"
"1"	1	7	"yes"
"2"	2	5	"yes"
"3"	3	8	"yes"
"4"	4	10	"no"
"5"	5	6	"yes"
"6"	6	10	"no"
"7"	7	1	"yes"
"8"	8	6	"yes"
"9"	9	6	"yes"
"10"	10	2	"yes"
"11"	11	7	"yes"
"12"	12	9	"yes"
"13"	13	3	"yes"
"14"	14	9	"yes"
"15"	15	8	"yes"
"16"	16	2	"no"
"17"	17	8	"yes"
"18"	18	10	"no"
"19"	19	10	"yes"
"20"	20	2	"yes"
"21"	21	1	"yes"
"22"	22	10	"yes"
"23"	23	6	"no"
"24"	24	8	"no"
"25"	25	7	"no"
"26"	26	4	"no"
"27"	27	8	"yes"
"28"	28	9	"no"
"29"	29	1	"yes"
"30"	30	10	"yes"
"31"	31	2	"yes"
"32"	32	3	"yes"
"33"	33	4	"yes"
"34"	34	6	"yes"
"35"	35	7	"yes"
"36"	36	3	"yes"
"37"	37	2	"yes"
"38"	38	6	"yes"
"39"	39	2	"yes"
"40"	40	1	"yes"
"41"	41	9	"yes"
"42"	42	7	"yes"
"43"	43	9	"yes"
"44"	44	7	"no"
"45"	45	8	"no"
"46"	46	9	"yes"
"47"	47	2	"yes"
"48"	48	1	"yes"
"49"	49	1	"yes"
"50"	50	4	"yes"
"51"	51	10	"no"
"52"	52	9	"yes"
"53"	53	3	"yes"
"54"	54	10	"yes"
"55"	55	1	"yes"
"56"	56	9	"yes"
"57"	57	1	"yes"
"58"	58	1	"yes"
"59"	59	3	"yes"
"60"	60	3	"yes"
"61"	61	3	"yes"
"62"	62	4	"yes"
"63"	63	1	"yes"
"64"	64	5	"yes"
"65"	65	10	"yes"
"66"	66	10	"yes"
"67"	67	4	"yes"
"68"	68	1	"no"
"69"	69	8	"yes"
"70"	70	3	"yes"
"71"	71	2	"yes"
"72"	72	6	"yes"
"73"	73	7	"no"
"74"	74	10	"yes"
"75"	75	7	"yes"
"76"	76	3	"no"
"77"	77	5	"no"
"78"	78	5	"yes"
"79"	79	3	"no"
"80"	80	10	"yes"
"81"	81	4	"yes"
"82"	82	7	"yes"
"83"	83	2	"no"
"84"	84	8	"yes"
"85"	85	6	"yes"
"86"	86	3	"yes"
"87"	87	2	"yes"
"88"	88	4	"no"
"89"	89	1	"yes"
